"ntree","rf_Er"
1,0.235294117647059
2,0.411764705882353
3,0.176470588235294
4,0.294117647058823
5,0.156862745098039
6,0.0784313725490197
7,0.117647058823529
8,0.156862745098039
9,0.117647058823529
10,0.254901960784314
11,0.0980392156862745
12,0.0980392156862745
13,0.137254901960784
14,0.196078431372549
15,0.0588235294117647
16,0.0588235294117647
17,0.137254901960784
18,0.0980392156862745
19,0.0980392156862745
20,0.0980392156862745
21,0.0980392156862745
22,0.0588235294117647
23,0.0784313725490197
24,0.0196078431372549
25,0.137254901960784
26,0.0392156862745098
27,0.0392156862745098
28,0.0784313725490197
29,0.0588235294117647
30,0
31,0.0392156862745098
32,0.0784313725490197
33,0.0196078431372549
34,0.137254901960784
35,0.0588235294117647
36,0.0588235294117647
37,0
38,0.117647058823529
39,0.0784313725490197
40,0
41,0.0588235294117647
42,0.0588235294117647
43,0.0588235294117647
44,0.0588235294117647
45,0.0392156862745098
46,0.0196078431372549
47,0.0392156862745098
48,0.0392156862745098
49,0.0196078431372549
50,0.0392156862745098
51,0.0980392156862745
52,0.0784313725490197
53,0.0784313725490197
54,0
55,0.0588235294117647
56,0.0588235294117647
57,0.0392156862745098
58,0
59,0.0196078431372549
60,0.0588235294117647
61,0.0588235294117647
62,0.0392156862745098
63,0.0196078431372549
64,0
65,0.0784313725490197
66,0.0196078431372549
67,0.0392156862745098
68,0.0980392156862745
69,0.0196078431372549
70,0.0196078431372549
71,0.0392156862745098
72,0.0392156862745098
73,0
74,0.0196078431372549
75,0.0784313725490197
76,0.0392156862745098
77,0.0392156862745098
78,0.0392156862745098
79,0.0392156862745098
80,0.0196078431372549
81,0.0392156862745098
82,0.0784313725490197
83,0.0392156862745098
84,0
85,0
86,0.0392156862745098
87,0.0588235294117647
88,0.0196078431372549
89,0
90,0.0392156862745098
91,0.0196078431372549
92,0.0196078431372549
93,0
94,0.0392156862745098
95,0.0196078431372549
96,0.0196078431372549
97,0.0196078431372549
98,0.0196078431372549
99,0.0392156862745098
100,0.0588235294117647
101,0.0392156862745098
102,0.0392156862745098
103,0.0196078431372549
104,0.0392156862745098
105,0.0196078431372549
106,0.0196078431372549
107,0.0392156862745098
108,0
109,0
110,0.0196078431372549
111,0.0196078431372549
112,0.0196078431372549
113,0.0392156862745098
114,0.0588235294117647
115,0.0196078431372549
116,0.0196078431372549
117,0
118,0.0196078431372549
119,0.0196078431372549
120,0.0392156862745098
121,0
122,0.0196078431372549
123,0
124,0
125,0.0588235294117647
126,0.0196078431372549
127,0.0196078431372549
128,0
129,0.0392156862745098
130,0.0196078431372549
131,0.0392156862745098
132,0
133,0
134,0.0196078431372549
135,0.0392156862745098
136,0.0196078431372549
137,0.0196078431372549
138,0.0196078431372549
139,0.0196078431372549
140,0.0196078431372549
141,0.0196078431372549
142,0.0196078431372549
143,0
144,0
145,0
146,0.0588235294117647
147,0.0588235294117647
148,0.0392156862745098
149,0.0588235294117647
150,0.0196078431372549
151,0.0392156862745098
152,0.0196078431372549
153,0
154,0.0196078431372549
155,0.0196078431372549
156,0.0196078431372549
157,0
158,0.0392156862745098
159,0
160,0
161,0.0392156862745098
162,0
163,0.0196078431372549
164,0.0392156862745098
165,0
166,0.0196078431372549
167,0.0196078431372549
168,0
169,0
170,0.0392156862745098
171,0.0392156862745098
172,0.0196078431372549
173,0
174,0
175,0.0784313725490197
176,0.0392156862745098
177,0
178,0.0196078431372549
179,0.0196078431372549
180,0
181,0
182,0.0196078431372549
183,0.0196078431372549
184,0.0196078431372549
185,0
186,0
187,0.0196078431372549
188,0
189,0.0392156862745098
190,0.0196078431372549
191,0
192,0
193,0.0784313725490197
194,0.0392156862745098
195,0
196,0.0392156862745098
197,0.0392156862745098
198,0.0392156862745098
199,0
200,0.0196078431372549
201,0.0392156862745098
202,0.0196078431372549
203,0.0392156862745098
204,0
205,0
206,0.0196078431372549
207,0
208,0.0392156862745098
209,0.0588235294117647
210,0
211,0.0392156862745098
212,0
213,0.0196078431372549
214,0
215,0
216,0.0196078431372549
217,0.0196078431372549
218,0.0196078431372549
219,0.0196078431372549
220,0.0392156862745098
221,0.0196078431372549
222,0.0196078431372549
223,0.0196078431372549
224,0.0196078431372549
225,0.0196078431372549
226,0.0196078431372549
227,0
228,0
229,0.0196078431372549
230,0
231,0
232,0
233,0
234,0
235,0.0196078431372549
236,0.0196078431372549
237,0.0196078431372549
238,0.0392156862745098
239,0.0392156862745098
240,0
241,0.0196078431372549
242,0
243,0.0588235294117647
244,0
245,0.0392156862745098
246,0.0392156862745098
247,0
248,0.0392156862745098
249,0.0196078431372549
250,0.0392156862745098
251,0.0196078431372549
252,0.0196078431372549
253,0.0196078431372549
254,0.0196078431372549
255,0
256,0.0196078431372549
257,0
258,0.0392156862745098
259,0
260,0.0196078431372549
261,0
262,0.0196078431372549
263,0
264,0
265,0
266,0.0392156862745098
267,0.0196078431372549
268,0.0392156862745098
269,0.0392156862745098
270,0
271,0
272,0.0196078431372549
273,0.0196078431372549
274,0.0196078431372549
275,0.0588235294117647
276,0.0196078431372549
277,0.0392156862745098
278,0
279,0
280,0
281,0.0196078431372549
282,0
283,0.0196078431372549
284,0.0196078431372549
285,0
286,0
287,0
288,0.0196078431372549
289,0.0196078431372549
290,0
291,0.0196078431372549
292,0
293,0.0392156862745098
294,0.0392156862745098
295,0
296,0
297,0.0196078431372549
298,0.0196078431372549
299,0
300,0.0196078431372549
