"ntree","test_Er","train_Er"
1,0.490196078431373,0.490196078431373
2,0.490196078431373,0.490196078431373
3,0.411764705882353,0.176470588235294
4,0.529411764705882,0.313725490196078
5,0.490196078431373,0.196078431372549
6,0.333333333333333,0.0980392156862745
7,0.392156862745098,0.137254901960784
8,0.470588235294118,0.215686274509804
9,0.431372549019608,0.0784313725490197
10,0.392156862745098,0.0588235294117647
11,0.470588235294118,0.0392156862745098
12,0.392156862745098,0.0588235294117647
13,0.450980392156863,0.0392156862745098
14,0.431372549019608,0.0196078431372549
15,0.450980392156863,0.0392156862745098
16,0.352941176470588,0.0196078431372549
17,0.352941176470588,0
18,0.333333333333333,0
19,0.254901960784314,0
20,0.372549019607843,0.0392156862745098
21,0.352941176470588,0
22,0.294117647058823,0
23,0.333333333333333,0
24,0.313725490196078,0
25,0.294117647058823,0.0392156862745098
26,0.294117647058823,0
27,0.254901960784314,0
28,0.333333333333333,0.0196078431372549
29,0.333333333333333,0
30,0.254901960784314,0
31,0.411764705882353,0.0196078431372549
32,0.235294117647059,0
33,0.313725490196078,0
34,0.450980392156863,0
35,0.294117647058823,0
36,0.274509803921569,0
37,0.254901960784314,0
38,0.333333333333333,0
39,0.294117647058823,0
40,0.294117647058823,0
41,0.274509803921569,0
42,0.215686274509804,0
43,0.254901960784314,0
44,0.411764705882353,0
45,0.411764705882353,0
46,0.196078431372549,0
47,0.235294117647059,0
48,0.333333333333333,0
49,0.235294117647059,0
50,0.313725490196078,0
51,0.254901960784314,0
52,0.235294117647059,0
53,0.294117647058823,0
54,0.215686274509804,0
55,0.372549019607843,0
56,0.235294117647059,0
57,0.274509803921569,0
58,0.372549019607843,0
59,0.450980392156863,0
60,0.294117647058823,0
61,0.294117647058823,0
62,0.254901960784314,0
63,0.294117647058823,0
64,0.313725490196078,0
65,0.196078431372549,0
66,0.235294117647059,0
67,0.215686274509804,0
68,0.274509803921569,0
69,0.294117647058823,0
70,0.294117647058823,0
71,0.215686274509804,0
72,0.196078431372549,0
73,0.274509803921569,0
74,0.313725490196078,0
75,0.470588235294118,0
76,0.333333333333333,0
77,0.235294117647059,0
78,0.313725490196078,0
79,0.215686274509804,0
80,0.313725490196078,0
81,0.235294117647059,0
82,0.352941176470588,0
