"ntree","test_Er","train_Er"
1,0.490196078431373,0.490196078431373
2,0.490196078431373,0.490196078431373
3,0.490196078431373,0.490196078431373
4,0.392156862745098,0.274509803921569
5,0.411764705882353,0.215686274509804
6,0.372549019607843,0.215686274509804
7,0.392156862745098,0.254901960784314
8,0.313725490196078,0.0784313725490197
9,0.235294117647059,0.0588235294117647
10,0.156862745098039,0.0588235294117647
11,0.294117647058823,0.0784313725490197
12,0.333333333333333,0.156862745098039
13,0.235294117647059,0.0588235294117647
14,0.333333333333333,0.0588235294117647
15,0.294117647058823,0.0196078431372549
16,0.294117647058823,0.0392156862745098
17,0.235294117647059,0.0588235294117647
18,0.137254901960784,0.0196078431372549
19,0.0784313725490197,0.0196078431372549
20,0.156862745098039,0
21,0.117647058823529,0.0392156862745098
22,0.274509803921569,0.0392156862745098
23,0.137254901960784,0
24,0.294117647058823,0.0196078431372549
25,0.294117647058823,0.0196078431372549
26,0.156862745098039,0.0392156862745098
27,0.117647058823529,0.0196078431372549
28,0.156862745098039,0
29,0.117647058823529,0
30,0.254901960784314,0
31,0.196078431372549,0
32,0.215686274509804,0
33,0.176470588235294,0
34,0.215686274509804,0.0196078431372549
35,0.137254901960784,0
36,0.0784313725490197,0
37,0.0784313725490197,0
38,0.137254901960784,0
39,0.0980392156862745,0
40,0.137254901960784,0
41,0.0784313725490197,0
42,0.0784313725490197,0
43,0.0980392156862745,0
44,0.0784313725490197,0
45,0.0784313725490197,0
46,0.117647058823529,0
47,0.137254901960784,0
48,0.137254901960784,0
49,0.156862745098039,0
50,0.156862745098039,0
51,0.117647058823529,0
52,0.117647058823529,0
53,0.117647058823529,0
54,0.137254901960784,0
55,0.0392156862745098,0
56,0.0980392156862745,0
57,0.176470588235294,0
58,0.117647058823529,0
59,0.0588235294117647,0
60,0.0588235294117647,0
61,0.117647058823529,0
62,0.137254901960784,0
63,0.0980392156862745,0
64,0.156862745098039,0
65,0.117647058823529,0
66,0.0588235294117647,0
67,0.137254901960784,0
68,0.196078431372549,0
69,0.0980392156862745,0
70,0.0588235294117647,0
71,0.137254901960784,0
72,0.0980392156862745,0
73,0.156862745098039,0
74,0.0784313725490197,0
75,0.117647058823529,0
76,0.0784313725490197,0
77,0.0392156862745098,0
